"Location.City","Location.State","Location.Country","Data.Shape","Data.Encounter duration","Data.Description excerpt","Location.Coordinates.Latitude ","Location.Coordinates.Longitude ","Dates.Sighted.Year","Dates.Sighted.Month","Date.Sighted.Day","Dates.Sighted.Hour","Dates.Sighted.Minute","Dates.Documented.Year","Dates.Documented.Month","Dates.Documented.Day"
"anchor point","AK","US","disk","300.0","Large UFO over Mt. ILIAMNA Alaska.  ((NUFORC Note:  Possible contrail behind a high-altitude jet??  PD))","59.7766667","-151.8313889","2005","5","24","18","30","2005","5","28"
"anchorage","AK","US","changing","21600.0","We could observe red lights dancing across the underside red lights were very bright and very active.","61.2180556","-149.9002778","2000","12","31","21","0","2001","2","18"
"anchorage","AK","US","changing","600.0","INTENSE AMBER-ORANGE HONEYCOMB SHAPED DUAL HORIZONTAL LIGHT;&#44 SILENT DECENT....","61.2180556","-149.9002778","2006","10","23","21","3","2006","12","7"
"anchorage","AK","US","cigar","15.0","I explained away the first time I thought I seen this object but twice weeks apart...I&#39m certain now","61.2180556","-149.9002778","2014","3","29","20","45","2014","4","4"
"anchorage","AK","US","circle","300.0","Orange circles &quot;climbing&quot; then fading away","61.2180556","-149.9002778","2011","10","21","21","0","2011","10","25"
"anchorage","AK","US","circle","4.0","Large&#44 bright&#44 blue/white circular object appeared to do  extremely high speed &quot;fly-by&quot; of Earth.","61.2180556","-149.9002778","1972","8","30","1","30","2004","1","17"
"anchorage","AK","US","circle","7200.0","Multiple craft sighted above a Anchorage&#44 Ak","61.2180556","-149.9002778","2006","10","23","21","0","2006","10","30"
"anchorage","AK","US","circle","900.0","Approx. 12 orange orbs moving across the sky from the NW to the SE &#44 moving towards outer space.","61.2180556","-149.9002778","2013","10","23","20","0","2013","11","11"
"anchorage","AK","US","circle","10.0","It was gray and did not move or have any light to it.","61.2180556","-149.9002778","1998","10","31","10","0","2004","3","2"
"anchorage","AK","US","circle","10.0","At least 40 round red orbs hovering in formation above the hillside&#44 disappeared quickly.","61.2180556","-149.9002778","2013","12","23","22","22","2014","1","10"
